id,estatus,tipo_poblacion,codigo_postal,colonia,alcaldia,estado_civil,dependientes_ecconomicos,num_dependientes_economicos,ult_grado_estudios,estatus_estudios,profesion,tiempo_buscando_empleo
48,NO APROBADO,POBLACION GENERAL,10320,EL TANQUE,LA MAGDALENA CONTRERAS,CASADO-A,SI,4,BACHILLERATO,CONCLUIDO,"AUXILIARES EN ADMINISTRACION, CONTABILIDAD Y FINANZAS",SIN DATO
49,APROBADO,POBLACION GENERAL,11480,POPO,MIGUEL HIDALGO,SIN DATO,SIN DATO,SIN DATO,PRIMARIA,CONCLUIDO,SIN DATO,SIN DATO
50,NO APROBADO,POBLACION GENERAL,7140,ARBOLEDAS,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
51,NO APROBADO,POBLACION GENERAL,9720,FRANCISCO VILLA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
52,APROBADO,POBLACION GENERAL,1160,BOSQUE,ALVARO OBREGON,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
53,NO APROBADO,POBLACION GENERAL,1259,LA MEXICANA 2A AMPLIACION,ALVARO OBREGON,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
54,APROBADO,POBLACION GENERAL,2600,PRO-HOGAR,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
55,APROBADO,POBLACION GENERAL,9210,TEPALCATES,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
56,NO APROBADO,POBLACION GENERAL,7080,GABRIEL HERNANDEZ,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
57,NO APROBADO,POBLACION GENERAL,11200,LOMAS HERMOSA,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
58,NO APROBADO,POBLACION GENERAL,13120,AMPLIACION SANTA CATARINA,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
59,NO APROBADO,POBLACION GENERAL,10369,TIERRA UNIDA,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
60,APROBADO,POBLACION GENERAL,9637,CAMPESTRE POTRERO,GUSTAVO A MADERO,SIN DATO,NO,0,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
61,NO APROBADO,POBLACION GENERAL,14640,EJIDOS DE SAN PEDRO MARTIR,TLALPAN,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,TRUNCO,SIN DATO,SIN DATO
62,NO APROBADO,POBLACION GENERAL,10369,TIERRA UNIDA,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO
63,NO APROBADO,POBLACION GENERAL,1410,PALMAS,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
64,NO APROBADO,POBLACION GENERAL,10360,HUAYATLA,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
65,APROBADO,POBLACION GENERAL,16620,BARRIO SAN JOSE,XOCHIMILCO,SOLTER0-A,SI,0,BACHILLERATO,CONCLUIDO,NO APLICA,SIN DATO
66,NO APROBADO,POBLACION GENERAL,14640,EJIDOS DE SAN PEDRO MARTIR,TLALPAN,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
67,APROBADO,POBLACION GENERAL,4369,PEDREGAL DE SANTO DOMINGO,COYOACAN,SIN DATO,SIN DATO,SIN DATO,PRIMARIA,TRUNCO,SIN DATO,SIN DATO
68,APROBADO,POBLACION GENERAL,2810,VICTORIA DE LAS DEMOCRACIAS,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,POSGRADO,CONCLUIDO,SIN DATO,SIN DATO
69,NO APROBADO,POBLACION GENERAL,9410,ACULCO,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
70,APROBADO,POBLACION GENERAL,07979,SAN JUAN DE ARAGON IV SECCION,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
71,NO APROBADO,POBLACION GENERAL,8100,AGRICOLA PANTITLAN,IZTACALCO,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
72,APROBADO,POBLACION GENERAL,2100,EL ROSARIO,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
73,APROBADO,POBLACION GENERAL,7880,MARTIRES DE RIO BLANCO,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
74,APROBADO,POBLACION GENERAL,15530,MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
75,NO APROBADO,POBLACION GENERAL,5410,SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
76,APROBADO,POBLACION GENERAL,4380,PUEBLO LA CANDELARIA,COYOACAN,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
77,NO APROBADO,POBLACION GENERAL,9900,SAN LORENZO,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
78,NO APROBADO,POBLACION GENERAL,10330,LAS CRUCES,LA MAGDALENA CONTRERAS,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
79,NO APROBADO,POBLACION GENERAL,7320,TICOMAN,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
80,APROBADO,POBLACION GENERAL,2250,SANTA CATARINA,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
81,APROBADO,POBLACION GENERAL,13200,MIGUEL HIDALGO,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
82,APROBADO,POBLACION GENERAL,7550,PROVIDENCIA,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
83,NO APROBADO,POBLACION GENERAL,4950,EL MIRADOR,GUSTAVO A MADERO,SIN DATO,NO,0,POSGRADO,CONCLUIDO,SIN DATO,SIN DATO
84,NO APROBADO,POBLACION GENERAL,14248,CRUZ DEL FAROL,TLALPAN,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
85,NO APROBADO,POBLACION GENERAL,7130,EL TEPETATAL,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
86,NO APROBADO,POBLACION GENERAL,7640,SANTIAGO ATEPETLAC,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
87,NO APROBADO,POBLACION GENERAL,2430,PRESIDENTE MADERO,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
88,NO APROBADO,POB. PERSONAS LOCATARIAS Y TRABAJADORES DE MERCADOS PUBLICOS,9510,SANTA MARTHA ACATITLA,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
89,NO APROBADO,POBLACION GENERAL,09320,SIDERAL,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
90,NO APROBADO,POBLACION GENERAL,11870,TACUBAYA,MIGUEL HIDALGO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
91,APROBADO,POBLACION GENERAL,1618,EX-HACIENDA DE TARANGO,ALVARO OBREGON,CASADO-A,SI,1,TECNICA/COMERCIAL,CONCLUIDO,"SECRETARIAS, TAQUIGRAFOS, MECANOGRAFOS, CAPTURISTAS DE DATOS Y OPERADORES DE MAQUINAS DE OFI CINA",SIN DATO
92,APROBADO,POBLACION GENERAL,9310,LEYES DE REFORMA 3A SECCION,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
93,NO APROBADO,POBLACION GENERAL,2040,SAN SEBASTIAN,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
94,NO APROBADO,POBLACION GENERAL,13219,LAS ARBOLEDAS,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
95,NO APROBADO,POBLACION GENERAL,9870,SAN ANDRES TOMATLAN,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
96,APROBADO,POBLACION GENERAL,9700,SANTA CRUZ MEYEHUALCO,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
97,NO APROBADO,POBLACION GENERAL,1377,JALALPA EL GRANDE,ALVARO OBREGON,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,TRUNCO,SIN DATO,SIN DATO
98,APROBADO,POBLACION GENERAL,14646,VALLE DE TEPEPAN,TLALPAN,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
99,NO APROBADO,POBLACION GENERAL,4330,PUEBLO DE LOS REYES,COYOACAN,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
100,NO APROBADO,POBLACION GENERAL,14410,FUENTES BROTANTES,TLALPAN,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
101,NO APROBADO,POBLACION GENERAL,11850,SAN MIGUEL CHAPULTEPEC I SECCION,MIGUEL HIDALGO,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
102,NO APROBADO,POBLACION GENERAL,13210,LOS OLIVOS,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
103,APROBADO,POBLACION GENERAL,4700,PEDREGAL DE CARRASCO,COYOACAN,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
104,NO APROBADO,POBLACION GENERAL,6720,DOCTORES,CUAUHTEMOC,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
105,NO APROBADO,POBLACION GENERAL,14090,LA JOYA,TLALPAN,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
106,NO APROBADO,POBLACION GENERAL,09239,EJERCITO DE ORIENTE ZONA PEÑON,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
107,NO APROBADO,POBLACION GENERAL,15300,20 DE NOVIEMBRE,GUSTAVO A MADERO,SIN DATO,NO,0,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
108,NO APROBADO,POBLACION GENERAL,2719,AMPLIACION SAN PEDRO XALPA,GUSTAVO A MADERO,SIN DATO,NO,0,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
109,NO APROBADO,POBLACION GENERAL,10010,SAN BARTOLO AMEYALCO,LA MAGDALENA CONTRERAS,SOLTER0-A,SI,2,SECUNDARIA,TRUNCO,AYUDANTES EN LA PREPARACION DE ALIMENTOS,SIN DATO
110,NO APROBADO,POBLACION GENERAL,5000,CUAJIMALPA,CUAJIMALPA DE MORELOS,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,TRUNCO,SIN DATO,SIN DATO
111,NO APROBADO,POBLACION GENERAL,02150,PASTEROS,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
112,NO APROBADO,POB. PERSONAS LOCATARIAS Y TRABAJADORES DE MERCADOS PUBLICOS,12950,LA LUPITA XOLCO,GUSTAVO A MADERO,SIN DATO,NO,0,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
113,APROBADO,POBLACION GENERAL,13250,LA TURBA,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
114,APROBADO,POBLACION GENERAL,03710,CIUDAD DE LOS DEPORTES,BENITO JUAREZ,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
115,NO APROBADO,POBLACION GENERAL,06220,PERALVILLO,CUAUHTEMOC,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
116,NO APROBADO,POBLACION GENERAL,4369,PEDREGAL DE SANTO DOMINGO,COYOACAN,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
117,NO APROBADO,POBLACION GENERAL,15510,PENSADOR MEXICANO,VENUSTIANO CARRANZA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
118,NO APROBADO,POBLACION GENERAL,9790,SAN LORENZO TEZONCO,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO
119,APROBADO,POBLACION GENERAL,3410,POSTAL,BENITO JUAREZ,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
120,APROBADO,POBLACION GENERAL,14420,CUMBRES DE TEPETONGO,TLALPAN,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
121,NO APROBADO,POBLACION GENERAL,7350,GUADALUPE TICOMAN,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
122,NO APROBADO,POBLACION GENERAL,1296,AMPLIACION JALALPA,ALVARO OBREGON,SIN DATO,SIN DATO,SIN DATO,TECNICA/COMERCIAL,CONCLUIDO,SIN DATO,SIN DATO
123,NO APROBADO,POBLACION GENERAL,8420,CUCHILLA AGRICOLA ORIENTAL,IZTACALCO,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,TRUNCO,SIN DATO,SIN DATO
124,APROBADO,POBLACION GENERAL,9000,SAN LUCAS,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
125,NO APROBADO,POBLACION GENERAL,5760,LAS LAJAS,CUAJIMALPA DE MORELOS,SIN DATO,SIN DATO,SIN DATO,PRIMARIA,CONCLUIDO,SIN DATO,SIN DATO
126,APROBADO,POBLACION GENERAL,09570,SANTA MARIA AZTAHUACAN,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
127,APROBADO,POBLACION GENERAL,07820,ARAGON INGUARAN,GUSTAVO A MADERO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
128,APROBADO,POBLACION GENERAL,4369,PEDREGAL DE SANTO DOMINGO,COYOACAN,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
129,NO APROBADO,POBLACION GENERAL,9800,PUEBLO CULHUACAN,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
130,APROBADO,POBLACION GENERAL,9860,CERRO DE LA ESTRELLA,IZTAPALAPA,SOLTER0-A,SIN DATO,2,TECNICA/COMERCIAL,CONCLUIDO,ADMINISTRADORES Y MERCADOLOGOS,SIN DATO
131,APROBADO,POBLACION GENERAL,3910,MIXCOAC,BENITO JUAREZ,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
132,NO APROBADO,POBLACION GENERAL,9780,LOMAS DE SAN LORENZO,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,TRUNCO,SIN DATO,SIN DATO
133,NO APROBADO,POBLACION GENERAL,9240,PROGRESISTA,IZTAPALAPA,SIN DATO,SIN DATO,SIN DATO,SECUNDARIA,CONCLUIDO,SIN DATO,SIN DATO
134,APROBADO,POBLACION GENERAL,2050,SANTA MARIA MALINALCO,AZCAPOTZALCO,SIN DATO,SIN DATO,SIN DATO,BACHILLERATO,CONCLUIDO,SIN DATO,SIN DATO
135,NO APROBADO,POBLACION GENERAL,13549,PEÑA ALTA,TLAHUAC,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
136,NO APROBADO,POBLACION GENERAL,14250,MIGUEL HIDALGO,TLALPAN,SIN DATO,SIN DATO,SIN DATO,LICENCIATURA,CONCLUIDO,SIN DATO,SIN DATO
